fecha,referencia,PC1
31/01/2014,P2,0.23022629285161275
31/01/2014,P3,0.09507245324447226
31/01/2014,P4,0.8249031871230309
31/01/2014,P5,0.17616475700875656
31/01/2014,P6,-0.06711215428409634
29/04/2014,P1,0.14913398908732847
29/04/2014,P2,0.04101091740161606
29/04/2014,P3,0.14913398908732847
29/04/2014,P4,0.013980149480187963
29/04/2014,P5,-0.04008138636266823
29/04/2014,P6,-0.06711215428409634
15/07/2014,P1,-0.06711215428409634
15/07/2014,P2,-0.06711215428409634
15/07/2014,P3,-0.06711215428409634
15/07/2014,P4,-0.06711215428409634
15/07/2014,P5,-0.06711215428409634
15/07/2014,P6,-0.06711215428409634
27/01/2015,P1,0.05452630136233011
27/01/2015,P2,0.08155706928375821
27/01/2015,P3,0.027495533440902012
27/01/2015,P4,0.20319552493018467
27/01/2015,P5,-0.013050618441240136
27/01/2015,P6,-0.06711215428409634
31/03/2015,P1,0.13561860512661442
31/03/2015,P2,0.1896801409694706
31/03/2015,P3,-0.05359677032338229
31/03/2015,P4,0.09507245324447226
31/03/2015,P5,0.027495533440902012
31/03/2015,P6,-0.06711215428409634
07/07/2015,P1,-0.06711215428409634
07/07/2015,P2,-0.06711215428409634
07/07/2015,P3,-0.06711215428409634
07/07/2015,P4,-0.06711215428409634
07/07/2015,P5,-0.06711215428409634
07/07/2015,P6,-0.06711215428409634
13/10/2015,P1,0.2707724447337549
13/10/2015,P2,0.027495533440902012
13/10/2015,P3,-0.06711215428409634
13/10/2015,P4,-0.06711215428409634
13/10/2015,P5,-0.06711215428409634
13/10/2015,P6,4.80162894714697e-17
12/01/2016,P1,0.00046476551947391393
12/01/2016,P2,0.09507245324447226
12/01/2016,P3,-0.06711215428409634
12/01/2016,P4,-0.06711215428409634
12/01/2016,P5,-0.06711215428409634
12/01/2016,P6,4.80162894714697e-17
19/04/2016,P1,0.13561860512661442
19/04/2016,P2,0.08155706928375821
19/04/2016,P3,0.09507245324447226
19/04/2016,P4,-0.04008138636266823
19/04/2016,P5,-0.05359677032338229
19/04/2016,P6,-0.06711215428409634
19/07/2016,P1,0.013980149480187963
19/07/2016,P2,-0.06711215428409634
19/07/2016,P3,0.00046476551947391393
19/07/2016,P4,-0.06711215428409634
19/07/2016,P5,-0.04008138636266823
19/07/2016,P6,-0.06711215428409634
11/10/2016,P1,0.31131859661589706
11/10/2016,P2,0.20319552493018467
11/10/2016,P3,-0.12117369012695253
11/10/2016,P4,-0.013050618441240136
11/10/2016,P5,-0.04008138636266823
11/10/2016,P6,0.21671090889089872
10/01/2017,P1,0.6492031956337483
10/01/2017,P2,0.2707724447337549
10/01/2017,P3,0.33834936453732517
10/01/2017,P4,0.39241090038018134
10/01/2017,P5,0.013980149480187963
10/01/2017,P6,-0.06711215428409634
18/04/2017,P1,0.05452630136233011
18/04/2017,P2,0.013980149480187963
18/04/2017,P3,0.013980149480187963
18/04/2017,P4,0.04101091740161606
18/04/2017,P5,0.14913398908732847
18/04/2017,P6,0.06804168532304417
18/07/2017,P1,-0.06711215428409634
18/07/2017,P2,-0.06711215428409634
18/07/2017,P3,-0.06711215428409634
18/07/2017,P4,-0.06711215428409634
18/07/2017,P5,-0.06711215428409634
18/07/2017,P6,-0.06711215428409634
17/10/2017,P1,-0.06711215428409634
17/10/2017,P2,-0.06711215428409634
17/10/2017,P3,-0.04008138636266823
17/10/2017,P4,-0.06711215428409634
17/10/2017,P5,-0.06711215428409634
17/10/2017,P6,-0.06711215428409634
09/01/2018,P1,0.06804168532304417
09/01/2018,P2,-0.026566002401954187
09/01/2018,P3,-0.06711215428409634
09/01/2018,P4,-0.06711215428409634
09/01/2018,P5,-0.013050618441240136
09/01/2018,P6,-0.06711215428409634
03/04/2018,P1,0.6627185795944623
